id,query,difficulty,domain,expected_source_ids,retrieved_source_ids,retrieved_similarities,recall_at_k,precision_at_k,hit_at_k,mrr,top1_ok
rag-083,8月5日杠铃划船,simple,fitness,5,5|4|10|14,0.707|0.535|0.535|0.354,1.0,0.25,True,1.0,True
rag-084,8月1日8月7日8月11日深蹲,medium,fitness,1|7|11,1|7|11,0.378|0.378|0.378,1.0,1.0,True,1.0,True
rag-085,8月2日8月8日卧推,medium,fitness,2|8,2|8,0.516|0.516,1.0,1.0,True,1.0,True
rag-086,8月3日8月4日8月9日背部训练,medium,fitness,3|4|9,4|3|10|5|9,0.676|0.600|0.507|0.447|0.447,1.0,0.6,True,1.0,True
rag-087,8月1日8月7日腿部训练,medium,fitness,1|7,1|7|6|13|11,0.772|0.772|0.739|0.739|0.617,1.0,0.4,True,1.0,True
rag-088,8月2日8月8日8月12日胸部,medium,fitness,2|8|12,2|8|12|4|10,0.447|0.447|0.447|0.378|0.378,1.0,0.6,True,1.0,True
rag-089,8月6日8月13日跑步有氧,medium,fitness,6|13,6|13|1|7|11,0.862|0.862|0.617|0.617|0.617,1.0,0.4,True,1.0,True
rag-090,8月5日8月14日划船,medium,fitness,5|14,5|14|4|10,0.577|0.577|0.436|0.436,1.0,0.5,True,1.0,True
rag-091,8月4日8月10日引体,medium,fitness,4|10,4|10,0.655|0.655,1.0,1.0,True,1.0,True
rag-092,8月3日8月9日硬拉,medium,fitness,3|9,9|3,0.577|0.516,1.0,1.0,True,1.0,True
rag-093,8月1日至7日训练,medium,fitness,1|2|3|4|5|6|7,1|6|13|7|11,0.802|0.640|0.640|0.535|0.535,0.42857142857142855,0.6,True,1.0,True
rag-094,8月1日深蹲8月2日卧推,medium,fitness,1|2,2|1,0.447|0.378,1.0,1.0,True,1.0,True
rag-095,8月1日8月2日训练,medium,fitness,1|2,1|6|13|2|7,0.655|0.522|0.522|0.516|0.436,1.0,0.4,True,1.0,True
rag-096,8月1日深蹲8月2日卧推8月3日硬拉,complex,fitness,1|2|3|7|8|9|11|12|15,3|1|9,0.474|0.401|0.354,0.3333333333333333,1.0,True,1.0,True
rag-097,8月3日8月4日8月9日引体划船,complex,fitness,3|4|5|9|10|14,4|10|3|5|14,0.714|0.571|0.507|0.378|0.378,0.8333333333333334,1.0,True,1.0,True
rag-098,8月1日深蹲8月6日跑步8月7日腿部,complex,fitness,1|6|7|11|13|15,1|7|6|11|15,0.802|0.802|0.746|0.668|0.668,0.8333333333333334,1.0,True,1.0,True
rag-099,8月1日至14日训练记录,complex,fitness,1|2|3|4|5|6|7|8|9|10|11|12|13|14,1|6|13|7|11,0.802|0.640|0.640|0.535|0.535,0.35714285714285715,1.0,True,1.0,True
rag-100,8月1日至15日胸部腿部背部训练,complex,fitness,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15,4|10|5|14|1,0.756|0.756|0.667|0.667|0.630,0.3333333333333333,1.0,True,1.0,True
