id,text,difficulty,expected_intents,expected_domain,keyword_intents,keyword_domain,keyword_start_date,keyword_end_date,llm_intents,llm_domain,llm_start_date,llm_end_date,reconciled_intents,reconciled_domain,reconciled_start_date,reconciled_end_date,final_intents,final_domain,final_start_date,final_end_date,selected_step,final_primary_ok,final_full_ok,final_intent_recall,final_intent_precision,final_intent_f1,keyword_primary_ok,llm_primary_ok,reconciled_primary_ok
19,昨天蛋白质够吗,simple,data_query,nutrition,data_query,nutrition,,,data_query|web_search,nutrition,2026-08-22,2026-08-22,data_query|web_search,nutrition,2026-08-22,2026-08-22,data_query|web_search,nutrition,2026-08-22,2026-08-22,llm_reconciled,True,False,1.0,0.5,0.6666666666666666,True,True,True
20,查询昨天晚餐记录,simple,data_query,nutrition,data_query,,,,data_query,nutrition,2026-08-22,2026-08-22,data_query,nutrition,2026-08-22,2026-08-22,data_query,nutrition,2026-08-22,2026-08-22,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
21,记录体重 72.5kg,simple,manual_entry,body,manual_entry,body,,2026-08-23,manual_entry,body,,,manual_entry,body,,,manual_entry,body,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
22,录入今天体脂 18.2%,simple,manual_entry,body,manual_entry,body,2026-08-23,2026-08-23,manual_entry,body,2026-08-23,2026-08-23,manual_entry,body,2026-08-23,2026-08-23,manual_entry,body,2026-08-23,2026-08-23,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
23,添加早餐 鸡蛋 2个,simple,manual_entry,nutrition,manual_entry,nutrition,,,manual_entry,nutrition,,,manual_entry,nutrition,,,manual_entry,nutrition,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
24,记录午餐：鸡胸肉 200g,simple,manual_entry,nutrition,manual_entry,nutrition,,,manual_entry,nutrition,,,manual_entry,nutrition,,,manual_entry,nutrition,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
25,午餐吃了牛肉 150g 米饭 200g,simple,manual_entry,nutrition,manual_entry,nutrition,,,manual_entry,nutrition,,,manual_entry,nutrition,,,manual_entry,nutrition,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
26,记录晚餐 三文鱼 120g,simple,manual_entry,nutrition,manual_entry,nutrition,,,manual_entry,nutrition,,,manual_entry,nutrition,,,manual_entry,nutrition,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
27,添加体重 71.8,simple,manual_entry,body,manual_entry,body,,2026-08-23,manual_entry,body,,,manual_entry,body,,,manual_entry,body,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
28,录入零食 坚果 30g,simple,manual_entry,nutrition,manual_entry,nutrition,,,manual_entry,nutrition,,,manual_entry,nutrition,,,manual_entry,nutrition,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
29,记录 2026-08-22 体重 73kg,simple,manual_entry,body,manual_entry,body,2026-08-22,2026-08-22,manual_entry,body,2026-08-22,2026-08-22,manual_entry,body,2026-08-22,2026-08-22,manual_entry,body,2026-08-22,2026-08-22,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
30,记录体脂率 17.5%,simple,manual_entry,body,manual_entry,body,,2026-08-23,manual_entry,body,,,manual_entry,body,,,manual_entry,body,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
31,录入午餐 米饭 150g 西兰花 100g,simple,manual_entry,nutrition,manual_entry,nutrition,,,manual_entry,nutrition,,,manual_entry,nutrition,,,manual_entry,nutrition,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
32,记录体重72kg,simple,manual_entry,body,manual_entry,body,,2026-08-23,manual_entry,body,,,manual_entry,body,,,manual_entry,body,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
33,添加早餐燕麦 80g,simple,manual_entry,nutrition,manual_entry,nutrition,,,manual_entry,nutrition,,,manual_entry,nutrition,,,manual_entry,nutrition,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
34,记录今天体重 105.9kg,simple,manual_entry,body,manual_entry,body,2026-08-23,2026-08-23,manual_entry,body,2026-08-23,2026-08-23,manual_entry,body,2026-08-23,2026-08-23,manual_entry,body,2026-08-23,2026-08-23,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
35,录入 晚餐 豆腐 200g,simple,manual_entry,nutrition,manual_entry,nutrition,,,manual_entry,nutrition,,,manual_entry,nutrition,,,manual_entry,nutrition,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
36,近30天体脂变化趋势,simple,trend_analysis,,trend_analysis,body,2026-07-25,2026-08-23,trend_analysis,body,2026-07-25,2026-08-23,trend_analysis,body,2026-07-25,2026-08-23,trend_analysis,body,2026-07-25,2026-08-23,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
37,近7天体重变化怎么样,simple,trend_analysis,body,trend_analysis,body,2026-08-17,2026-08-23,trend_analysis,body,2026-08-17,2026-08-23,trend_analysis,body,2026-08-17,2026-08-23,trend_analysis,body,2026-08-17,2026-08-23,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
38,近14天蛋白质摄入趋势,simple,trend_analysis,nutrition,trend_analysis,nutrition,2026-08-10,2026-08-23,trend_analysis,nutrition,2026-08-10,2026-08-23,trend_analysis,nutrition,2026-08-10,2026-08-23,trend_analysis,nutrition,2026-08-10,2026-08-23,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
39,近90天体重走势,simple,trend_analysis,body,trend_analysis,body,2026-05-26,2026-08-23,trend_analysis,body,2026-05-26,2026-08-23,trend_analysis,body,2026-05-26,2026-08-23,trend_analysis,body,2026-05-26,2026-08-23,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
40,最近训练量变化,simple,trend_analysis,fitness,trend_analysis,fitness,,,trend_analysis,fitness,,,trend_analysis,fitness,,,trend_analysis,fitness,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
41,近30天热量摄入变化,simple,trend_analysis,nutrition,trend_analysis,nutrition,2026-07-25,2026-08-23,trend_analysis,nutrition,2026-07-25,2026-08-23,trend_analysis,nutrition,2026-07-25,2026-08-23,trend_analysis,nutrition,2026-07-25,2026-08-23,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
42,体重和体脂近两周对比,simple,trend_analysis,body,trend_analysis,body,,,trend_analysis,body,2026-08-10,2026-08-23,trend_analysis,body,2026-08-10,2026-08-23,trend_analysis,body,2026-08-10,2026-08-23,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
43,近7天训练频率趋势,simple,trend_analysis,fitness,trend_analysis,fitness,2026-08-17,2026-08-23,trend_analysis,fitness,2026-08-17,2026-08-23,trend_analysis,fitness,2026-08-17,2026-08-23,trend_analysis,fitness,2026-08-17,2026-08-23,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
44,分析近30天饮食变化,simple,trend_analysis,nutrition,trend_analysis,nutrition,2026-07-25,2026-08-23,trend_analysis,nutrition,2026-07-25,2026-08-23,trend_analysis,nutrition,2026-07-25,2026-08-23,trend_analysis,nutrition,2026-07-25,2026-08-23,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
45,近60天卧推重量变化,simple,trend_analysis,fitness,trend_analysis,fitness,2026-06-25,2026-08-23,trend_analysis,fitness,2026-06-25,2026-08-23,trend_analysis,fitness,2026-06-25,2026-08-23,trend_analysis,fitness,2026-06-25,2026-08-23,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
46,近21天围度变化,simple,trend_analysis,body,trend_analysis,body,2026-08-03,2026-08-23,trend_analysis,body,2026-08-03,2026-08-23,trend_analysis,body,2026-08-03,2026-08-23,trend_analysis,body,2026-08-03,2026-08-23,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
47,对比近7天摄入和消耗,simple,trend_analysis,nutrition,trend_analysis,,2026-08-17,2026-08-23,trend_analysis,nutrition,2026-08-17,2026-08-23,trend_analysis,nutrition,2026-08-17,2026-08-23,trend_analysis,nutrition,2026-08-17,2026-08-23,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
48,给我一个近7天的体重变化报告,simple,trend_analysis,body,trend_analysis,body,2026-08-17,2026-08-23,trend_analysis,body,2026-08-17,2026-08-23,trend_analysis,body,2026-08-17,2026-08-23,trend_analysis,body,2026-08-17,2026-08-23,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
49,近7天饮食分析报告,simple,trend_analysis,nutrition,trend_analysis,nutrition,2026-08-17,2026-08-23,trend_analysis,nutrition,2026-08-17,2026-08-23,trend_analysis,nutrition,2026-08-17,2026-08-23,trend_analysis,nutrition,2026-08-17,2026-08-23,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
50,目标体重设为70kg,simple,goal_setting,body,goal_setting,body,,,goal_setting,body,,,goal_setting,body,,,goal_setting,body,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
51,我要在12周降到65公斤,simple,goal_setting,body,goal_setting,body,,,goal_setting,body,,,goal_setting,body,,,goal_setting,body,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
52,设定体脂目标15%,simple,goal_setting,body,goal_setting,body,,,goal_setting,body,,,goal_setting,body,,,goal_setting,body,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
53,目标增到75kg,simple,goal_setting,body,goal_setting,body,,,goal_setting,body,,,goal_setting,body,,,goal_setting,body,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
54,减到68公斤需要多久,simple,goal_setting,body,goal_setting,body,,,goal_setting,body,,,goal_setting,body,,,goal_setting,body,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
55,把目标体重改成72kg,simple,goal_setting,body,goal_setting,body,,,goal_setting,body,,,goal_setting,body,,,goal_setting,body,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
56,设定3个月降到80kg,simple,goal_setting,body,goal_setting,body,,,goal_setting,body,,,goal_setting,body,,,goal_setting,body,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
57,目标体脂降到12%,simple,goal_setting,body,goal_setting,body,,,goal_setting,body,,,goal_setting,body,,,goal_setting,body,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
58,我想增肌到78kg,simple,goal_setting,body,general,,,,goal_setting,body,,,goal_setting,body,,,goal_setting,body,,,llm_reconciled,True,True,1.0,1.0,1.0,False,True,True
59,降到70kg以下,simple,goal_setting,body,goal_setting,body,,,goal_setting,body,,,goal_setting,body,,,goal_setting,body,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
60,同步最近7天训记数据,simple,sync_trigger,,sync_trigger,,2026-08-17,2026-08-23,sync_trigger,,2026-08-17,2026-08-23,sync_trigger,,2026-08-17,2026-08-23,sync_trigger,,2026-08-17,2026-08-23,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
61,拉取训记训练记录,simple,sync_trigger,,sync_trigger,fitness,,,sync_trigger,fitness,,,sync_trigger,fitness,,,sync_trigger,fitness,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
62,更新训记数据,simple,sync_trigger,,sync_trigger,,,,sync_trigger,,,,sync_trigger,,,,sync_trigger,,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
63,同步最近30天数据,simple,sync_trigger,,sync_trigger,,2026-07-25,2026-08-23,sync_trigger,,2026-07-25,2026-08-23,sync_trigger,,2026-07-25,2026-08-23,sync_trigger,,2026-07-25,2026-08-23,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
64,从训记同步饮食,simple,sync_trigger,,general,,,,sync_trigger,nutrition,,,sync_trigger,nutrition,,,sync_trigger,nutrition,,,llm_reconciled,True,True,1.0,1.0,1.0,False,True,True
65,拉取最近14天训记,simple,sync_trigger,,sync_trigger,,2026-08-10,2026-08-23,sync_trigger,,2026-08-10,2026-08-23,sync_trigger,,2026-08-10,2026-08-23,sync_trigger,,2026-08-10,2026-08-23,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
66,同步训记身体数据,simple,sync_trigger,,sync_trigger,,,,sync_trigger,body,,,sync_trigger,body,,,sync_trigger,body,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
67,更新最近7天训记同步,simple,sync_trigger,,sync_trigger,,2026-08-17,2026-08-23,sync_trigger,,2026-08-17,2026-08-23,sync_trigger,,2026-08-17,2026-08-23,sync_trigger,,2026-08-17,2026-08-23,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
68,生成最近7天体重折线图,simple,chart_trigger,body,chart_trigger,body,2026-08-17,2026-08-23,chart_trigger,body,2026-08-17,2026-08-23,chart_trigger,body,2026-08-17,2026-08-23,chart_trigger,body,2026-08-17,2026-08-23,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
69,画近30天体脂趋势图,simple,chart_trigger,body,chart_trigger,body,2026-07-25,2026-08-23,chart_trigger,body,2026-07-25,2026-08-23,chart_trigger,body,2026-07-25,2026-08-23,chart_trigger,body,2026-07-25,2026-08-23,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
70,生成热量柱状图保存成文档,simple,chart_trigger,body,chart_trigger,nutrition,,,chart_trigger,nutrition,,,chart_trigger,nutrition,,,chart_trigger,nutrition,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
71,近14天训练量折线图,simple,chart_trigger,body,chart_trigger,fitness,2026-08-10,2026-08-23,chart_trigger,fitness,2026-08-10,2026-08-23,chart_trigger,fitness,2026-08-10,2026-08-23,chart_trigger,fitness,2026-08-10,2026-08-23,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
72,把近7天蛋白摄入画成图,simple,chart_trigger,body,trend_analysis,nutrition,2026-08-17,2026-08-23,chart_trigger,nutrition,2026-08-17,2026-08-23,chart_trigger,nutrition,2026-08-17,2026-08-23,chart_trigger,nutrition,2026-08-17,2026-08-23,llm_reconciled,True,True,1.0,1.0,1.0,False,True,True
73,生成体重折线图,simple,chart_trigger,body,chart_trigger,body,,,chart_trigger,body,,,chart_trigger,body,,,chart_trigger,body,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
74,近30天摄入热量统计图,simple,chart_trigger,body,chart_trigger,nutrition,2026-07-25,2026-08-23,chart_trigger,nutrition,2026-07-25,2026-08-23,chart_trigger,nutrition,2026-07-25,2026-08-23,chart_trigger,nutrition,2026-07-25,2026-08-23,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
75,画一个体脂变化折线图,simple,chart_trigger,body,chart_trigger,body,,,chart_trigger,body,,,chart_trigger,body,,,chart_trigger,body,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
76,生成昨天的日报,simple,report_trigger,,report_trigger,,2026-08-22,2026-08-22,report_trigger,,2026-08-22,2026-08-22,report_trigger,,2026-08-22,2026-08-22,report_trigger,,2026-08-22,2026-08-22,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
77,出一份8月22日的报告,simple,report_trigger,,general,,,,report_trigger,,2026-08-22,2026-08-22,report_trigger,,2026-08-22,2026-08-22,report_trigger,,2026-08-22,2026-08-22,llm_reconciled,True,True,1.0,1.0,1.0,False,True,True
78,生成8月20日到8月25日的报告,simple,report_trigger,,report_trigger,,2025-08-25,2026-08-20,report_trigger,,2025-08-25,2026-08-20,report_trigger,,2025-08-25,2026-08-20,report_trigger,,2025-08-25,2026-08-20,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
79,生成今日晨报,simple,report_trigger,,report_trigger,,2026-08-23,2026-08-23,report_trigger,,2026-08-23,2026-08-23,report_trigger,,2026-08-23,2026-08-23,report_trigger,,2026-08-23,2026-08-23,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
80,帮我生成综合健康报告,simple,report_trigger,,report_trigger,,,,report_trigger,,,,report_trigger,,,,report_trigger,,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
81,生成8.21的报告,simple,report_trigger,,report_trigger,,2026-08-21,2026-08-21,report_trigger,,2026-08-21,2026-08-21,report_trigger,,2026-08-21,2026-08-21,report_trigger,,2026-08-21,2026-08-21,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
82,生成昨天的健康日报,simple,report_trigger,,report_trigger,,2026-08-22,2026-08-22,report_trigger,,2026-08-22,2026-08-22,report_trigger,,2026-08-22,2026-08-22,report_trigger,,2026-08-22,2026-08-22,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
83,出一份完整健康报告,simple,report_trigger,,general,,,,report_trigger,,,,report_trigger,,,,report_trigger,,,,llm_reconciled,True,True,1.0,1.0,1.0,False,True,True
84,搜一下HIIT一周练几次比较好,simple,web_search,fitness,web_search,fitness,,,web_search,fitness,,,web_search,fitness,,,web_search,fitness,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
85,蛋白质推荐摄入量有什么科学依据,simple,web_search,fitness,web_search,nutrition,,,web_search,nutrition,,,web_search,nutrition,,,web_search,nutrition,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
86,联网查减脂期碳水怎么分配,simple,web_search,fitness,web_search,nutrition,,,web_search,nutrition,,,web_search,nutrition,,,web_search,nutrition,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
87,网上搜一下增肌训练容量建议,simple,web_search,fitness,web_search,fitness,,,web_search,fitness,,,web_search,fitness,,,web_search,fitness,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
88,查资料：间歇跑和匀速跑哪个减脂更好,simple,web_search,fitness,web_search,,,,web_search,fitness,,,web_search,fitness,,,web_search,fitness,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
89,搜一下深蹲膝盖内扣怎么纠正,simple,web_search,fitness,web_search,fitness,,,web_search,fitness,,,web_search,fitness,,,web_search,fitness,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
90,每天早上7点生成日报,simple,schedule_manage,,schedule_manage,,,,schedule_manage,,,,schedule_manage,,,,schedule_manage,,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
91,查看定时任务,simple,schedule_manage,,schedule_manage,,,,schedule_manage,,,,schedule_manage,,,,schedule_manage,,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
92,取消每天同步,simple,schedule_manage,,schedule_manage,,,,schedule_manage,,,,schedule_manage,,,,schedule_manage,,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
93,设置每天21点同步训记,simple,schedule_manage,,schedule_manage,,,,schedule_manage,,,,schedule_manage,,,,schedule_manage,,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
94,停用定时日报任务,simple,schedule_manage,,schedule_manage,,,,schedule_manage,,,,schedule_manage,,,,schedule_manage,,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
95,每天8点自动同步数据,simple,schedule_manage,,schedule_manage,,,,schedule_manage,,,,schedule_manage,,,,schedule_manage,,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
96,今天不练了，改成休息,simple,plan_adjust,fitness,plan_adjust,fitness,,,plan_adjust,fitness,2026-08-23,2026-08-23,plan_adjust,fitness,2026-08-23,2026-08-23,plan_adjust,fitness,2026-08-23,2026-08-23,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
97,调整训练计划，明天练胸,simple,plan_adjust,fitness,plan_adjust,fitness,,,plan_adjust,fitness,,,plan_adjust,fitness,,,plan_adjust,fitness,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
98,取消今天的训练,simple,plan_adjust,fitness,plan_adjust,fitness,,,plan_adjust,fitness,2026-08-23,2026-08-23,plan_adjust,fitness,2026-08-23,2026-08-23,plan_adjust,fitness,2026-08-23,2026-08-23,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
99,改成休息日,simple,plan_adjust,fitness,plan_adjust,fitness,,,plan_adjust,fitness,,,plan_adjust,fitness,,,plan_adjust,fitness,,,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
100,把明天的训练改成有氧,simple,plan_adjust,fitness,general,,,,plan_adjust,fitness,,,plan_adjust,fitness,,,plan_adjust,fitness,,,llm_reconciled,True,True,1.0,1.0,1.0,False,True,True
101,同步8月24日数据并生成日报,medium,sync_trigger|report_trigger,,sync_trigger|report_trigger,,2025-08-24,2025-08-24,sync_trigger|report_trigger,,2025-08-24,2025-08-24,sync_trigger|report_trigger,,2025-08-24,2025-08-24,sync_trigger|report_trigger,,2025-08-24,2025-08-24,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
102,同步今日数据然后生成日报,medium,sync_trigger|report_trigger,,sync_trigger|report_trigger,,2026-08-23,2026-08-23,sync_trigger|report_trigger,,2026-08-23,2026-08-23,sync_trigger|report_trigger,,2026-08-23,2026-08-23,sync_trigger|report_trigger,,2026-08-23,2026-08-23,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
103,拉取昨天数据并出报告,medium,sync_trigger|report_trigger,,sync_trigger,,2026-08-22,2026-08-22,sync_trigger|report_trigger,,2026-08-22,2026-08-22,sync_trigger|report_trigger,,2026-08-22,2026-08-22,sync_trigger|report_trigger,,2026-08-22,2026-08-22,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
104,同步最近7天数据并生成周期报告,medium,sync_trigger|report_trigger,,sync_trigger|report_trigger,,2026-08-17,2026-08-23,sync_trigger|report_trigger,,2026-08-17,2026-08-23,sync_trigger|report_trigger,,2026-08-17,2026-08-23,sync_trigger|report_trigger,,2026-08-17,2026-08-23,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
105,更新训记后生成8月22日日报,medium,sync_trigger|report_trigger,,sync_trigger|report_trigger,,2026-08-22,2026-08-22,sync_trigger|report_trigger,,2026-08-22,2026-08-22,sync_trigger|report_trigger,,2026-08-22,2026-08-22,sync_trigger|report_trigger,,2026-08-22,2026-08-22,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
106,同步前天和昨天的数据并生成日报,medium,sync_trigger|report_trigger,,sync_trigger|report_trigger,,2026-08-21,2026-08-22,sync_trigger|report_trigger,,2026-08-21,2026-08-22,sync_trigger|report_trigger,,2026-08-21,2026-08-22,sync_trigger|report_trigger,,2026-08-21,2026-08-22,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
107,同步8月20号和8月25号的数据再生成报告,medium,sync_trigger|report_trigger,,sync_trigger|report_trigger,,2025-08-25,2026-08-20,sync_trigger|report_trigger,,2025-08-25,2026-08-20,sync_trigger|report_trigger,,2025-08-25,2026-08-20,sync_trigger|report_trigger,,2025-08-25,2026-08-20,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
108,先同步训记再生成昨天的晨报,medium,sync_trigger|report_trigger,,sync_trigger|report_trigger,,2026-08-22,2026-08-22,sync_trigger|report_trigger,,2026-08-22,2026-08-22,sync_trigger|report_trigger,,2026-08-22,2026-08-22,sync_trigger|report_trigger,,2026-08-22,2026-08-22,llm_reconciled,True,True,1.0,1.0,1.0,True,True,True
